size,sparsity,build_index_time,get_at_rank_time,get_at_index_time,num_elem_at_time,size_bytes,overhead
7812500,0.005,16.5769,0.01365,0.00409,0.01165,1440353,1401266
7812500,0.01,16.6197,0.01269,0.00267,0.00934,1479415,1401266
7812500,0.05,16.5585,0.01508,0.00568,0.0116,1791915,1401266
7812500,0.1,16.5868,0.0089,0.00285,0.00789,2182540,1401266
7812500,0.2,16.7199,0.01148,0.00562,0.008279,2963790,1401266
15625000,0.005,31.2686,0.00524,0.00201,0.00855,2845180,2767031
15625000,0.01,31.3756,0.00655,0.00192,0.008439,2923305,2767031
15625000,0.05,31.2707,0.0098,0.00284,0.00848,3548305,2767031
15625000,0.1,31.3242,0.011999,0.00346,0.00836,4329555,2767031
15625000,0.2,31.2492,0.01384,0.00905,0.01069,5892055,2767031
23437500,0.005,47.1444,0.00989,0.00296,0.00978,4218870,4101658
23437500,0.01,47.2881,0.01313,0.00337,0.00904,4336057,4101658
23437500,0.05,46.2405,0.01121,0.00564,0.01256,5273557,4101658
23437500,0.1,48.6084,0.01918,0.01226,0.01885,6445432,4101658
23437500,0.2,44.7416,0.01694,0.01181,0.01379,8789182,4101658
31250000,0.005,61.2762,0.01424,0.00292,0.0088,5625120,5468846
31250000,0.01,60.6139,0.00912,0.00293,0.00832,5781370,5468846
31250000,0.05,60.1441,0.01408,0.00394,0.00829,7031370,5468846
31250000,0.1,62.1093,0.01722,0.01211,0.02002,8593870,5468846
31250000,0.2,60.5373,0.01796,0.01367,0.01502,11718870,5468846
39062500,0.005,73.0529,0.01013,0.00232,0.00877,6956257,6760920
39062500,0.01,72.605,0.00896,0.00238,0.0084,7151569,6760920
39062500,0.05,72.8758,0.01439,0.00702,0.01372,8714069,6760920
39062500,0.1,73.6434,0.01813,0.00967,0.01668,10667194,6760920
39062500,0.2,72.9826,0.01888,0.01237,0.01551,14573444,6760920
78125000,0.005,141.593,0.01112,0.00272,0.00913,13773290,13382641
78125000,0.01,143.337,0.01475,0.00257,0.00916,14163915,13382641
78125000,0.05,141.826,0.01697,0.01139,0.02043,17288915,13382641
78125000,0.1,141.702,0.021809,0.01752,0.02226,21195165,13382641
78125000,0.2,141.5,0.02311,0.01713,0.02136,29007665,13382641
117187500,0.005,217.561,0.01617,0.00488,0.01192,20659875,20073913
117187500,0.01,215.914,0.015239,0.00416,0.01054,21245812,20073913
117187500,0.05,211.318,0.021359,0.01497,0.02606,25933312,20073913
117187500,0.1,212.242,0.020649,0.01512,0.02162,31792687,20073913
117187500,0.2,211.393,0.021449,0.018,0.02347,43511437,20073913
156250000,0.005,272.206,0.01874,0.009149,0.01707,27288085,26506811
156250000,0.01,273.413,0.02342,0.01599,0.03679,28069335,26506811
156250000,0.05,273.726,0.02137,0.01535,0.02691,34319335,26506811
156250000,0.1,272.593,0.02238,0.01946,0.02857,42131835,26506811
156250000,0.2,270.252,0.0247,0.02405,0.0308,57756835,26506811
